"","Country","Current.Account.Balance...GDP","Fertility.Rate","Infant.Mortaility.under.5.per.1.000","GDP.per.Capita","Life.Expectancy","X5.Year.Inflation","Unemployment","Literacy.Rate..2018.with.some.data.added.","Electricity.Consumption.2014","Manufacturing...GDP","Services...GDP","Ariculture...GDP","Urbanzation...Population","Government.Spending...GDP","GDP.growth","Natural.Reasorces...GDP","Bank.Account...pop..2014.data.","Female.Male.Bank.Accounts","Gender.Equality.Education","Ease.of.Doing.Buissness.Rank.2019.","Manufacturing.Growth","Services.Growth","Agriculture.Growth","Time.to.Pay.Taxes","Medium.and.High.Tech.Industry..","Homocides.per.100000","Suicides.per.100000","Alcohol.Consumption..2016.","Muslim.Population.Percent","Tariff.Rate.Weighted.Average","Gini.Index.2015.14","Migrant...Population","McDonalds.per.Million","Maternal.Mortality.per.100000","Air.Polution.Deaths.per.100000","Population.Growth.Rate","Exports...GDP","Capital.formation...GDP","CO2.Emissions.per.capita..2014.","Visa.Free.Passport.Destinations","Papers.per.Million","Higher.Education","Press.Freedom.Index.2016.","Age.at.First.Marriage..Female.","Median.Age..2018.","Economic.Complexity","Km.of.roads.per.Million.People..Different.Years.","Steel.Production.per.capita","Height.of.Tallest.Building..meters..2020","X..using.Internet","Hospital.Beds.per.1000..Different.Years.","Basic.Water.Services...Population","Tuberculosis.per.100000.people","Legality.of.Homosexuality..2019.","Legality.of.Marital.Rape..2020.","Wheat.Productivity.per.Hectare","Video.Game.Revenue.Per.Person..2019.","Log.Tourists.Population.","Log.Container.Port.Traffic.Per.Capita.","Log.Patent.Applications.per.Capita.","S.P.Credit.Rating","Year.2020.Constitution.was.adopted","Mortality.Rate.Unsafe.Water.per.100000","Bond.Yeild.8.29.2020","X2009.Importance.of.Religion","ISO3","ISO2","UN"
"1","Aruba",4.112396887,1.854,NA,25796.38025,75.725,5.462034175,NA,97.80742,NA,NA,NA,NA,43.108,NA,-0.4505857615,0.002612975947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,10.02,NA,34.76210186,38.33584114,NA,NA,0.544892394,69.6139477,21.48194271,8.410064178,NA,NA,15.27177,NA,NA,39.3,NA,NA,NA,NA,88.66123,NA,97.86902,11,0,NA,"",NA,1.069681094,-0.5413337399,NA,5,NA,NA,NA,NA,"ABW","AW","533"
"2","Afghanistan",-23.3242057,4.976,70.4,578.4663529,63.377,31.73239622,1.67900002,43.01972,NA,11.420006,53.2352935,20.63432272,24.803,37.02256957,1.451314655,0.4790325224,9.961000443,0.2415271485,0.64754,173,0.4093910828,2.135107789,-5.657217847,275,9.507433905,10,4.8,0.2,99.6,NA,NA,1.175546927,0,701,211.1,3.077083595,11.68798401,19.45468731,0.2939464071,26,0.6450937439,NA,37.75,NA,18.9,NA,1276.123282,0,75,8.26,0.5,61.54693,189,1,1,"1,980.30",NA,NA,NA,NA,NA,2004,13.9,NA,97,"AFG","AF","004"
"3","Angola",-8.841138892,5.774,88.1,4166.979684,59.398,41.90942976,7.278999805,66.03011,312.228825,5.685144864,48.65988909,9.122534471,63.446,20.81883184,0.9435756131,10.80362831,29.31812096,0.6180550709,NA,177,12.02433644,-4.837994102,10.214245,294,3.760257293,NA,5,6.4,0.3,9.38,NA,0.42700468,0,251,118.5,3.438850684,29.75459949,34.20248913,1.290306776,50,1.132892281,8.40094,39.89,21.4,15.9,-1.26,1844.365848,0,145,12.4,0.8,54.31693,366,1,0,"726.9",0.788972149,-1.673039301,-1.524566923,NA,3,2010,48.8,NA,88,"AGO","AO","024"
"4","Albania",-8.60482124,1.677,9.6,3952.830781,78.025,5.753244319,17.07999992,98.14115,2309.366503,5.671519417,46.28446699,19.7802186,57.434,24.44617575,2.230000179,1.813210471,37.98635483,0.790086506,0.98242,82,4.961337524,2.763439425,0.7678367402,357,5.804435386,2.8,6,7.5,58.8,1.11,32.9,1.98903641,0,15,68,-0.2912057868,27.26739958,25.81905714,1.978763312,114,61.72104518,62.00762,29.92,24,32.9,-0.9,6248.474765,0,112,63.25293,2.9,91.00102,17,0,0,"3,900",7.637024712,0.1184526428,NA,-5.313370449,3,1998,0.2,NA,50,"ALB","AL","008"
"5","Andorra",NA,NA,3.3,36039.6535,NA,3.044309349,NA,NA,NA,3.245211272,80.00923033,0.4701947048,88.345,NA,0.8422035184,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,11.3,2.6,NA,NA,59.7136492,64.09352527,NA,NA,-1.529058438,NA,NA,5.832906215,167,103.5751368,NA,19.87,NA,44.3,NA,4101.985617,0,80,96.91,2.5,100,5.9,0,0,"",NA,1.533215321,NA,NA,5,1993,NA,NA,NA,"AND","AD","020"
"6","Arab World",NA,3.365221092,37.27309421,6459.109379,71.24957141,17.5277841,10.21207755,74.5966,2501.479657,13.83719793,52.48511737,5.494581916,58.03146668,25.87904269,3.307618148,17.03388028,30.27713013,0.5842525333,0.93496,NA,3.432306716,2.984558037,1.196150641,228.5714286,NA,NA,4.206200927,0.6172888958,NA,NA,NA,9.066129174,NA,153,101.932592,2.09341784,44.04080126,29.73367721,4.886987513,NA,103.4208976,30.13177,NA,NA,NA,NA,NA,NA,NA,43.69633,NA,87.93683,NA,0,NA,"",NA,-0.6524091346,-0.8875032768,-5.133833208,NA,NA,7.416115127,NA,NA,NA,NA,NA
"7","United Arab Emirates",NA,1.541,7.8,38663.38381,77.285,-1.923628706,1.835999966,100,11088.35029,8.848501161,55.34998176,0.7409992465,85.674,4.288508106,5.064701529,14.05077798,83.74332428,0.75215741,NA,16,5.556022453,4.672453677,1.316082551,12,35.92971301,0.7,2.8,3.8,76,2.99,32.5,88.40404837,18.56869879,3,54.7,0.5274115405,100.8704802,25.67138761,22.93960631,171,247.7172376,NA,36.73,NA,30.3,0.12,440.4668085,0.3238726533,828,90.5,1.2,96.76946,0.78,0,1,"3,672.10",36.92148247,0.2755956455,0.3602684749,-5.790655716,NA,1971,0.1,NA,91,"ARE","AE","784"
"8","Argentina",-2.962926665,2.301,11.5,13789.06042,76.068,136.8301145,7.643000126,99.00387,3074.702071,14.18158545,55.81490128,5.156685902,91.503,25.00839323,2.731159828,1.336709999,50.19729614,1.028172817,1.02838,126,0.7659323908,2.660138013,7.541961722,405,26.00064759,6.5,8.8,9.8,0.9,7.35,41.7,4.805292335,5.146994691,41,26.6,1.078001344,10.70565205,17.07070488,4.781507775,170,194.0558425,84.002,25.09,NA,31.7,0.46,5364.327701,0.1159233038,235,68.04306,5,99.07013,26,0,0,"3,296.60",10.38672802,-0.8012696724,-1.404282639,-4.897606611,3,1853,0.4,NA,65,"ARG","AR","032"
"9","Armenia",-2.720089213,1.738,14.4,3607.296697,74.467,16.51727139,18.26099968,99.73607,1961.610395,9.206171059,48.21266939,17.22312003,63.085,25.07798135,3.199999999,4.013201922,17.66906548,0.6981474089,1.03799,47,-5.499999989,0.9789303305,13.2,313,4.509795589,2.6,7,5.5,0.1,2.93,32.4,6.335892888,0,28,54.8,0.4505009027,29.72799648,20.73053013,1.898719374,63,181.5861822,46.5218,28.79,26.3,35.1,NA,2663.428077,0,85,59.10238,4.2,99.73441,50,0,0,"3,242.70",8.203577238,-0.3899317149,NA,-4.413129527,NA,1995,0.2,NA,79,"ARM","AM","051"
"10","American Samoa",NA,NA,NA,11843.33118,NA,19.97139944,NA,NA,NA,NA,NA,NA,87.238,NA,1.248049922,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,NA,NA,0.1,NA,NA,41.80200943,35.83458754,NA,NA,0.0376333974,64.59909228,NA,NA,NA,0,NA,NA,NA,25.5,NA,4318.067799,0,NA,NA,NA,99.6191,8.2,0,NA,"",NA,-0.4392315476,NA,NA,NA,NA,NA,NA,NA,"ASM","AS","016"
